state;month_x;number;id;code;precipitation;pressure;max_preasure;min_preasure;radiation;temperature;dew_point;max_temperature;min_temperature;max_dew_point;min_dew_point;max_humidity;min_humidity;humidity;wind_direction;wind_gust;wind_speed;year;month_y
Amapa;Fevereiro;3.0;AP201102;AP;0.0;1011.4571428571428;1012.9;1009.8;843.7333333333335;25.04285714285714;23.514285714285712;28.3;23.6;25.2;22.0;93.0;88.25;91.42857142857144;-9907.934523809525;2.35;0.9;2011;2
Amapa;Fevereiro;5.0;AP201202;AP;0.7675287356321833;1009.5850574712643;1013.3;1006.0;912.3198938992048;24.02413793103449;22.39683908045976;31.5;20.7;25.8;19.7;92.98850574712644;88.94971264367815;91.10057471264368;104.7816091954023;3.061063218390803;0.9410919540229882;2012;2
Amapa;Fevereiro;0.0;AP201302;AP;0.7535714285714271;1009.3538690476198;1013.1;1005.7;837.6091160220996;24.60223214285713;23.18526785714286;31.1;20.9;28.4;18.5;92.3154761904762;91.53571428571428;91.91666666666669;103.27678571428572;3.0621460506706435;0.946130952380952;2013;2
Amapa;Fevereiro;2.0;AP201402;AP;0.3700892857142854;1009.172395833334;1012.8;1004.5;944.9918956043946;24.99017857142857;23.009895833333346;32.2;21.0;28.4;18.3;90.40625;87.90848214285714;89.203125;70.38392857142857;4.094407158836686;1.4100521221146691;2014;2
Amapa;Fevereiro;1.0;AP201502;AP;0.4605263157894735;1010.3176562500014;1014.8;1005.9;1183.8684873949574;25.441015625;22.835078125000017;32.4;19.4;29.1;18.1;87.62578125;84.73359375;86.23671875;-402.71875;4.211565696302124;1.5109631949882545;2015;2
Amapa;Fevereiro;1.0;AP201602;AP;0.5140804597701156;1010.0302442528758;1014.2;1004.4;1072.8292367399738;26.01329022988506;23.655459770114945;32.7;22.3;29.7;20.5;88.63936781609195;86.03448275862068;87.38577586206897;124.48132183908046;4.475071839080458;1.5345545977011497;2016;2
Amapa;Fevereiro;0.0;AP201702;AP;0.6891369047619064;1009.9199404761906;1014.3;1005.2;1023.450940860214;25.068005952380943;22.876488095238106;32.0;19.8;26.8;19.5;90.2827380952381;86.23214285714286;88.34970238095238;135.5922619047619;3.808110119047618;1.3035714285714288;2017;2
Amapa;Mar�o;1.0;AP200903;AP;0.3083333333333333;1009.2689516129038;1013.9;1005.5;1138.2300248138956;25.15403225806449;22.854301075268804;32.7;20.5;26.3;18.7;90.4247311827957;85.49462365591398;88.0524193548387;115.29301075268818;3.2581989247311784;1.0724462365591378;2009;3
Amapa;Mar�o;2.0;AP201003;AP;0.5333333333333328;1009.6182795698918;1013.5;1005.6;1242.3605459057082;25.86357526881721;23.6194892473118;32.9;21.3;27.0;20.3;90.64381720430109;85.79569892473118;88.27822580645162;104.65456989247312;3.577688172043011;1.141129032258063;2010;3
Amapa;Mar�o;0.0;AP201103;AP;0.0;1012.5;1013.2;1012.5;953.4;25.4;22.5;25.5;25.1;23.4;22.4;89.0;84.0;84.0;-9985.211021505376;1.9;0.7;2011;3
Amapa;Mar�o;1.0;AP201203;AP;0.4104838709677414;1010.2146505376354;1014.5;1005.9;1081.3729528535982;24.79314516129033;22.48991935483873;32.0;20.3;26.2;18.6;90.43279569892474;85.63037634408602;88.02822580645162;100.80645161290325;3.238440860215053;1.0899193548387076;2012;3
Amapa;Mar�o;0.0;AP201303;AP;0.4139344262295079;1010.160655737705;1015.1;1005.8;1202.4851116625307;25.35669398907104;23.20587431693989;32.1;21.0;29.2;18.5;88.8346994535519;87.4153005464481;88.14890710382514;-68.1008064516129;3.601229508196723;1.1799180327868848;2013;3
Amapa;Mar�o;1.0;AP201403;AP;0.4849462365591397;1009.9459005376352;1014.2;1005.6;1145.8196029776673;25.42029569892472;23.008064516129032;32.2;20.3;28.6;18.8;88.35147849462365;85.46774193548387;86.94690860215054;80.93413978494624;4.266061827956992;1.4995967741935463;2014;3
Amapa;Mar�o;2.0;AP201503;AP;0.2442748091603053;1010.6288000000012;1016.2;1005.2;1141.051526717557;24.932571428571453;22.94171428571425;32.3;21.0;28.6;18.2;90.53638497652582;88.61854460093896;89.20685714285715;-4885.580645161291;3.3521447721179647;1.0282119205298;2015;3
Amapa;Mar�o;5.0;AP201603;AP;0.51296551724138;1010.7162068965532;1014.6;1006.2;1111.917167919802;26.242551724137968;23.9146896551724;33.5;21.9;30.1;20.7;88.74654696132596;86.18508287292818;87.50758620689655;-130.1108870967742;4.0343922651933735;1.3835172413793098;2016;3
Amapa;Mar�o;0.0;AP201703;AP;0.764784946236561;1009.9564516129036;1015.1;1004.7;996.8249075215768;25.175134408602208;23.143682795698933;32.2;20.9;26.3;19.5;90.97849462365592;87.22983870967742;89.19422043010752;142.09408602150538;3.498588709677418;1.197849462365589;2017;3
Amapa;Abril;0.0;AP200904;AP;0.1755555555555556;1010.566944444444;1014.1;1006.4;1283.503076923077;25.463194444444444;22.70736111111113;33.2;20.8;26.2;18.9;88.6;83.19027777777778;85.95694444444445;111.67222222222222;3.364534075104309;1.158888888888887;2009;4
Amapa;Abril;2.0;AP201004;AP;0.6011111111111109;1009.3347222222226;1013.6;1005.1;1131.1184615384618;25.89736111111111;23.91041666666668;33.9;22.6;27.0;20.6;91.53472222222224;87.35;89.50833333333334;134.27083333333334;2.823055555555555;0.940694444444444;2010;4
Amapa;Abril;2.0;AP201204;AP;0.6208333333333327;1009.6863888888904;1013.1;1005.9;1029.7787179487177;25.06375000000001;23.241111111111103;32.7;21.8;26.8;20.9;92.38472222222222;87.99027777777778;90.22916666666669;115.24166666666666;2.9243055555555526;0.9302777777777768;2012;4
Amapa;Abril;2.0;AP201304;AP;0.4794444444444442;1010.4123611111116;1014.5;1006.3;1096.17564102564;25.436666666666675;23.610138888888905;32.5;21.7;29.7;19.9;90.36944444444444;89.22916666666667;89.81527777777778;98.35277777777776;3.167777777777777;1.0362499999999988;2013;4
Amapa;Abril;0.0;AP201404;AP;0.4344444444444439;1010.2130555555556;1014.1;1005.0;1175.8125641025642;25.751666666666683;23.32111111111111;33.2;20.5;29.2;19.0;88.39305555555555;85.46041666666666;86.97847222222222;87.45625;4.108825573314805;1.4415277777777773;2014;4
Amapa;Abril;0.0;AP201504;AP;0.0;1010.873231622747;1014.8;1007.8;1104.2581632653068;25.065880721220505;23.114979195561723;32.4;20.0;29.1;18.3;89.92777777777778;88.60694444444445;89.24410540915396;-4949.622222222222;3.3429166666666634;1.062083333333333;2015;4
Amapa;Abril;0.0;AP201604;AP;0.7292016806722706;1009.9324921135654;1014.4;1005.7;1193.4999999999998;26.19107142857143;24.02153361344537;33.3;21.5;30.7;20.1;89.38421052631578;87.32315789473684;88.33718487394958;-3302.6701388888887;3.490947368421053;1.1710084033613428;2016;4
Amapa;Abril;3.0;AP201704;AP;0.5691428571428572;1009.9024285714288;1014.3;1005.3;1174.8850000000004;25.938642857142856;23.43721428571428;32.8;21.2;27.2;19.6;89.17928571428571;84.76071428571429;87.00142857142858;-139.8423611111111;3.6287142857142896;1.2834999999999983;2017;4
